      r[a_0]     n(bound)   n(unbound) n(tightbound)
1.103241e-05 7.742347e+02 1.894115e-05 7.678373e+02
1.119504e-05 8.018382e+02 1.894115e-05 7.952128e+02
1.136006e-05 8.295136e+02 1.894115e-05 8.226595e+02
1.152752e-05 8.572462e+02 1.894115e-05 8.501629e+02
1.169744e-05 8.850218e+02 1.894115e-05 8.777090e+02
1.186987e-05 9.128270e+02 1.894115e-05 9.052845e+02
1.204484e-05 9.406489e+02 1.894115e-05 9.328764e+02
1.222239e-05 9.684750e+02 1.894115e-05 9.604726e+02
1.240256e-05 9.962935e+02 1.894115e-05 9.880613e+02
1.258538e-05 1.024093e+03 1.894115e-05 1.015631e+03
1.277090e-05 1.051863e+03 1.894115e-05 1.043171e+03
1.295915e-05 1.079592e+03 1.894115e-05 1.070672e+03
1.315018e-05 1.107272e+03 1.894115e-05 1.098123e+03
1.334402e-05 1.134892e+03 1.894115e-05 1.125514e+03
1.354072e-05 1.162443e+03 1.894115e-05 1.152838e+03
1.374032e-05 1.189917e+03 1.894115e-05 1.180085e+03
1.394287e-05 1.217306e+03 1.894115e-05 1.207247e+03
1.414840e-05 1.244601e+03 1.894115e-05 1.234317e+03
1.435695e-05 1.271796e+03 1.894115e-05 1.261287e+03
1.456859e-05 1.298883e+03 1.894115e-05 1.288150e+03
1.478334e-05 1.325855e+03 1.894115e-05 1.314900e+03
1.500126e-05 1.352707e+03 1.894115e-05 1.341530e+03
1.522239e-05 1.379431e+03 1.894115e-05 1.368033e+03
1.544678e-05 1.406023e+03 1.894115e-05 1.394405e+03
1.567447e-05 1.432476e+03 1.894115e-05 1.420640e+03
1.590553e-05 1.458786e+03 1.894115e-05 1.446732e+03
1.613999e-05 1.484948e+03 1.894115e-05 1.472678e+03
1.637790e-05 1.510956e+03 1.894115e-05 1.498471e+03
1.661932e-05 1.536807e+03 1.894115e-05 1.524109e+03
1.686431e-05 1.562497e+03 1.894115e-05 1.549587e+03
1.711290e-05 1.588022e+03 1.894115e-05 1.574900e+03
1.736516e-05 1.613378e+03 1.894115e-05 1.600047e+03
1.762113e-05 1.638561e+03 1.894115e-05 1.625022e+03
1.788088e-05 1.663569e+03 1.894115e-05 1.649823e+03
1.814446e-05 1.688399e+03 1.894115e-05 1.674448e+03
1.841192e-05 1.713047e+03 1.894115e-05 1.698892e+03
1.868333e-05 1.737512e+03 1.894115e-05 1.723155e+03
1.895873e-05 1.761790e+03 1.894115e-05 1.747232e+03
1.923820e-05 1.785880e+03 1.894115e-05 1.771123e+03
1.952179e-05 1.809779e+03 1.894115e-05 1.794825e+03
1.980955e-05 1.833486e+03 1.894115e-05 1.818337e+03
2.010156e-05 1.857000e+03 1.894115e-05 1.841655e+03
2.039787e-05 1.880317e+03 1.894115e-05 1.864780e+03
2.069855e-05 1.903438e+03 1.894115e-05 1.887710e+03
2.100366e-05 1.926360e+03 1.894115e-05 1.910443e+03
2.131327e-05 1.949083e+03 1.894115e-05 1.932978e+03
2.162745e-05 1.971605e+03 1.894115e-05 1.955314e+03
2.194625e-05 1.993927e+03 1.894115e-05 1.977451e+03
2.226976e-05 2.016046e+03 1.894115e-05 1.999388e+03
2.259803e-05 2.037963e+03 1.894115e-05 2.021123e+03
2.293114e-05 2.059676e+03 1.894115e-05 2.042657e+03
2.326916e-05 2.081186e+03 1.894115e-05 2.063989e+03
2.361217e-05 2.102492e+03 1.894115e-05 2.085119e+03
2.396023e-05 2.123594e+03 1.894115e-05 2.106047e+03
2.431342e-05 2.144492e+03 1.894115e-05 2.126772e+03
2.467182e-05 2.165185e+03 1.894115e-05 2.147294e+03
2.503550e-05 2.185674e+03 1.894115e-05 2.167614e+03
2.540455e-05 2.205959e+03 1.894115e-05 2.187732e+03
2.577903e-05 2.226040e+03 1.894115e-05 2.207647e+03
2.615903e-05 2.245918e+03 1.894115e-05 2.227360e+03
2.654463e-05 2.265593e+03 1.894115e-05 2.246872e+03
2.693592e-05 2.285064e+03 1.894115e-05 2.266183e+03
2.733298e-05 2.304334e+03 1.894115e-05 2.285293e+03
2.773589e-05 2.323401e+03 1.894115e-05 2.304203e+03
2.814473e-05 2.342268e+03 1.894115e-05 2.322914e+03
2.855961e-05 2.360934e+03 1.894115e-05 2.341426e+03
2.898060e-05 2.379400e+03 1.894115e-05 2.359739e+03
2.940780e-05 2.397668e+03 1.894115e-05 2.377856e+03
2.984129e-05 2.415737e+03 1.894115e-05 2.395776e+03
3.028117e-05 2.433609e+03 1.894115e-05 2.413500e+03
3.072754e-05 2.451285e+03 1.894115e-05 2.431030e+03
3.118049e-05 2.468765e+03 1.894115e-05 2.448366e+03
3.164011e-05 2.486051e+03 1.894115e-05 2.465509e+03
3.210651e-05 2.503144e+03 1.894115e-05 2.482461e+03
3.257978e-05 2.520045e+03 1.894115e-05 2.499222e+03
3.306004e-05 2.536754e+03 1.894115e-05 2.515793e+03
3.354737e-05 2.553274e+03 1.894115e-05 2.532176e+03
3.404188e-05 2.569604e+03 1.894115e-05 2.548372e+03
3.454368e-05 2.585747e+03 1.894115e-05 2.564381e+03
3.505288e-05 2.601704e+03 1.894115e-05 2.580206e+03
3.556959e-05 2.617475e+03 1.894115e-05 2.595847e+03
3.609391e-05 2.633062e+03 1.894115e-05 2.611306e+03
3.662596e-05 2.648467e+03 1.894115e-05 2.626583e+03
3.716586e-05 2.663691e+03 1.894115e-05 2.641681e+03
3.771371e-05 2.678734e+03 1.894115e-05 2.656600e+03
3.826964e-05 2.693599e+03 1.894115e-05 2.671342e+03
3.883376e-05 2.708287e+03 1.894115e-05 2.685909e+03
3.940620e-05 2.722799e+03 1.894115e-05 2.700301e+03
3.998708e-05 2.737136e+03 1.894115e-05 2.714519e+03
4.057652e-05 2.751300e+03 1.894115e-05 2.728566e+03
4.117465e-05 2.765292e+03 1.894115e-05 2.742443e+03
4.178159e-05 2.779115e+03 1.894115e-05 2.756151e+03
4.239749e-05 2.792768e+03 1.894115e-05 2.769692e+03
4.302246e-05 2.806254e+03 1.894115e-05 2.783066e+03
4.365664e-05 2.819574e+03 1.894115e-05 2.796276e+03
4.430017e-05 2.832729e+03 1.894115e-05 2.809323e+03
4.495319e-05 2.845721e+03 1.894115e-05 2.822208e+03
4.561584e-05 2.858552e+03 1.894115e-05 2.834932e+03
4.628825e-05 2.871223e+03 1.894115e-05 2.847498e+03
4.697057e-05 2.883735e+03 1.894115e-05 2.859907e+03
4.766295e-05 2.896089e+03 1.894115e-05 2.872159e+03
4.836554e-05 2.908288e+03 1.894115e-05 2.884257e+03
4.907849e-05 2.920333e+03 1.894115e-05 2.896203e+03
4.980194e-05 2.932225e+03 1.894115e-05 2.907996e+03
5.053606e-05 2.943965e+03 1.894115e-05 2.919640e+03
5.128100e-05 2.955556e+03 1.894115e-05 2.931135e+03
5.203692e-05 2.966998e+03 1.894115e-05 2.942482e+03
5.280398e-05 2.978293e+03 1.894115e-05 2.953684e+03
5.358235e-05 2.989443e+03 1.894115e-05 2.964742e+03
5.437220e-05 3.000449e+03 1.894115e-05 2.975657e+03
5.517369e-05 3.011312e+03 1.894115e-05 2.986430e+03
5.598699e-05 3.022034e+03 1.894115e-05 2.997064e+03
5.681228e-05 3.032617e+03 1.894115e-05 3.007558e+03
5.764973e-05 3.043061e+03 1.894115e-05 3.017916e+03
5.849954e-05 3.053368e+03 1.894115e-05 3.028138e+03
5.936186e-05 3.063540e+03 1.894115e-05 3.038226e+03
6.023690e-05 3.073578e+03 1.894115e-05 3.048181e+03
6.112484e-05 3.083483e+03 1.894115e-05 3.058004e+03
6.202587e-05 3.093257e+03 1.894115e-05 3.067698e+03
6.294017e-05 3.102901e+03 1.894115e-05 3.077262e+03
6.386796e-05 3.112417e+03 1.894115e-05 3.086700e+03
6.480942e-05 3.121806e+03 1.894115e-05 3.096011e+03
6.576476e-05 3.131069e+03 1.894115e-05 3.105198e+03
6.673419e-05 3.140208e+03 1.894115e-05 3.114261e+03
6.771790e-05 3.149224e+03 1.894115e-05 3.123203e+03
6.871611e-05 3.158119e+03 1.894115e-05 3.132024e+03
6.972904e-05 3.166893e+03 1.894115e-05 3.140725e+03
7.075690e-05 3.175548e+03 1.894115e-05 3.149309e+03
7.179991e-05 3.184086e+03 1.894115e-05 3.157776e+03
7.285829e-05 3.192507e+03 1.894115e-05 3.166128e+03
7.393228e-05 3.200814e+03 1.894115e-05 3.174366e+03
7.502210e-05 3.209006e+03 1.894115e-05 3.182491e+03
7.612798e-05 3.217086e+03 1.894115e-05 3.190504e+03
7.725017e-05 3.225055e+03 1.894115e-05 3.198407e+03
7.838889e-05 3.232914e+03 1.894115e-05 3.206201e+03
7.954440e-05 3.240665e+03 1.894115e-05 3.213888e+03
8.071695e-05 3.248308e+03 1.894115e-05 3.221467e+03
8.190678e-05 3.255845e+03 1.894115e-05 3.228942e+03
8.311415e-05 3.263276e+03 1.894115e-05 3.236312e+03
8.433931e-05 3.270604e+03 1.894115e-05 3.243580e+03
8.558254e-05 3.277830e+03 1.894115e-05 3.250745e+03
8.684409e-05 3.284953e+03 1.894115e-05 3.257810e+03
8.812424e-05 3.291977e+03 1.894115e-05 3.264776e+03
8.942325e-05 3.298901e+03 1.894115e-05 3.271643e+03
9.074142e-05 3.305728e+03 1.894115e-05 3.278413e+03
9.207902e-05 3.312458e+03 1.894115e-05 3.285087e+03
9.343633e-05 3.319091e+03 1.894115e-05 3.291666e+03
9.481366e-05 3.325631e+03 1.894115e-05 3.298151e+03
9.621128e-05 3.332077e+03 1.894115e-05 3.304544e+03
9.762951e-05 3.338430e+03 1.894115e-05 3.310845e+03
9.906864e-05 3.344692e+03 1.894115e-05 3.317055e+03
1.005290e-04 3.350864e+03 1.894115e-05 3.323176e+03
1.020109e-04 3.356946e+03 1.894115e-05 3.329208e+03
1.035146e-04 3.362940e+03 1.894115e-05 3.335153e+03
1.050405e-04 3.368848e+03 1.894115e-05 3.341011e+03
1.065888e-04 3.374669e+03 1.894115e-05 3.346784e+03
1.081600e-04 3.380404e+03 1.894115e-05 3.352472e+03
1.097544e-04 3.386056e+03 1.894115e-05 3.358077e+03
1.113723e-04 3.391625e+03 1.894115e-05 3.363600e+03
1.130140e-04 3.397111e+03 1.894115e-05 3.369041e+03
1.146799e-04 3.402516e+03 1.894115e-05 3.374401e+03
1.163704e-04 3.407841e+03 1.894115e-05 3.379682e+03
1.180857e-04 3.413087e+03 1.894115e-05 3.384884e+03
1.198264e-04 3.418254e+03 1.894115e-05 3.390009e+03
1.215927e-04 3.423343e+03 1.894115e-05 3.395056e+03
1.233851e-04 3.428356e+03 1.894115e-05 3.400028e+03
1.252039e-04 3.433294e+03 1.894115e-05 3.404925e+03
1.270495e-04 3.438156e+03 1.894115e-05 3.409747e+03
1.289223e-04 3.442945e+03 1.894115e-05 3.414496e+03
1.308227e-04 3.447660e+03 1.894115e-05 3.419173e+03
1.327512e-04 3.452304e+03 1.894115e-05 3.423778e+03
1.347080e-04 3.456876e+03 1.894115e-05 3.428312e+03
1.366937e-04 3.461377e+03 1.894115e-05 3.432776e+03
1.387087e-04 3.465809e+03 1.894115e-05 3.437171e+03
1.407533e-04 3.470171e+03 1.894115e-05 3.441497e+03
1.428282e-04 3.474466e+03 1.894115e-05 3.445756e+03
1.449336e-04 3.478693e+03 1.894115e-05 3.449949e+03
1.470700e-04 3.482853e+03 1.894115e-05 3.454075e+03
1.492379e-04 3.486948e+03 1.894115e-05 3.458136e+03
1.514378e-04 3.490978e+03 1.894115e-05 3.462132e+03
1.536701e-04 3.494943e+03 1.894115e-05 3.466064e+03
1.559353e-04 3.498845e+03 1.894115e-05 3.469934e+03
1.582339e-04 3.502684e+03 1.894115e-05 3.473741e+03
1.605664e-04 3.506460e+03 1.894115e-05 3.477486e+03
1.629333e-04 3.510175e+03 1.894115e-05 3.481171e+03
1.653350e-04 3.513830e+03 1.894115e-05 3.484795e+03
1.677722e-04 3.517424e+03 1.894115e-05 3.488360e+03
1.702453e-04 3.520959e+03 1.894115e-05 3.491865e+03
1.727548e-04 3.524435e+03 1.894115e-05 3.495313e+03
1.753014e-04 3.527853e+03 1.894115e-05 3.498702e+03
1.778854e-04 3.531214e+03 1.894115e-05 3.502035e+03
1.805076e-04 3.534517e+03 1.894115e-05 3.505312e+03
1.831684e-04 3.537765e+03 1.894115e-05 3.508532e+03
1.858685e-04 3.540957e+03 1.894115e-05 3.511698e+03
1.886083e-04 3.544094e+03 1.894115e-05 3.514809e+03
1.913885e-04 3.547176e+03 1.894115e-05 3.517866e+03
1.942098e-04 3.550205e+03 1.894115e-05 3.520869e+03
1.970726e-04 3.553180e+03 1.894115e-05 3.523820e+03
1.999776e-04 3.556103e+03 1.894115e-05 3.526718e+03
2.029254e-04 3.558973e+03 1.894115e-05 3.529565e+03
2.059167e-04 3.561792e+03 1.894115e-05 3.532361e+03
2.089520e-04 3.564560e+03 1.894115e-05 3.535106e+03
2.120321e-04 3.567277e+03 1.894115e-05 3.537801e+03
2.151576e-04 3.569945e+03 1.894115e-05 3.540446e+03
2.183292e-04 3.572563e+03 1.894115e-05 3.543042e+03
2.215476e-04 3.575131e+03 1.894115e-05 3.545590e+03
2.248134e-04 3.577652e+03 1.894115e-05 3.548089e+03
2.281273e-04 3.580124e+03 1.894115e-05 3.550541e+03
2.314900e-04 3.582549e+03 1.894115e-05 3.552946e+03
2.349024e-04 3.584927e+03 1.894115e-05 3.555304e+03
2.383650e-04 3.587258e+03 1.894115e-05 3.557616e+03
2.418787e-04 3.589543e+03 1.894115e-05 3.559882e+03
2.454442e-04 3.591782e+03 1.894115e-05 3.562103e+03
2.490622e-04 3.593976e+03 1.894115e-05 3.564278e+03
2.527336e-04 3.596125e+03 1.894115e-05 3.566410e+03
2.564591e-04 3.598229e+03 1.894115e-05 3.568497e+03
2.602395e-04 3.600290e+03 1.894115e-05 3.570540e+03
2.640756e-04 3.602307e+03 1.894115e-05 3.572540e+03
2.679683e-04 3.604280e+03 1.894115e-05 3.574498e+03
2.719183e-04 3.606211e+03 1.894115e-05 3.576412e+03
2.759266e-04 3.608099e+03 1.894115e-05 3.578285e+03
2.799940e-04 3.609945e+03 1.894115e-05 3.580116e+03
2.841213e-04 3.611750e+03 1.894115e-05 3.581905e+03
2.883095e-04 3.613513e+03 1.894115e-05 3.583653e+03
2.925594e-04 3.615234e+03 1.894115e-05 3.585361e+03
2.968719e-04 3.616915e+03 1.894115e-05 3.587028e+03
3.012480e-04 3.618556e+03 1.894115e-05 3.588655e+03
3.056886e-04 3.620157e+03 1.894115e-05 3.590242e+03
3.101947e-04 3.621717e+03 1.894115e-05 3.591790e+03
3.147672e-04 3.623239e+03 1.894115e-05 3.593299e+03
3.194071e-04 3.624721e+03 1.894115e-05 3.594769e+03
3.241154e-04 3.626164e+03 1.894115e-05 3.596200e+03
3.288932e-04 3.627569e+03 1.894115e-05 3.597593e+03
3.337413e-04 3.628935e+03 1.894115e-05 3.598948e+03
3.386609e-04 3.630263e+03 1.894115e-05 3.600265e+03
3.436530e-04 3.631554e+03 1.894115e-05 3.601545e+03
3.487187e-04 3.632806e+03 1.894115e-05 3.602787e+03
3.538591e-04 3.634022e+03 1.894115e-05 3.603993e+03
3.590752e-04 3.635200e+03 1.894115e-05 3.605161e+03
3.643683e-04 3.636342e+03 1.894115e-05 3.606293e+03
3.697394e-04 3.637447e+03 1.894115e-05 3.607389e+03
3.751896e-04 3.638516e+03 1.894115e-05 3.608449e+03
3.807202e-04 3.639548e+03 1.894115e-05 3.609473e+03
3.863323e-04 3.640545e+03 1.894115e-05 3.610461e+03
3.920271e-04 3.641505e+03 1.894115e-05 3.611414e+03
3.978059e-04 3.642431e+03 1.894115e-05 3.612331e+03
4.036698e-04 3.643320e+03 1.894115e-05 3.613214e+03
4.096202e-04 3.644175e+03 1.894115e-05 3.614061e+03
4.156584e-04 3.644994e+03 1.894115e-05 3.614874e+03
4.217855e-04 3.645779e+03 1.894115e-05 3.615651e+03
4.280029e-04 3.646529e+03 1.894115e-05 3.616395e+03
4.343120e-04 3.647244e+03 1.894115e-05 3.617104e+03
4.407141e-04 3.647924e+03 1.894115e-05 3.617779e+03
4.472106e-04 3.648571e+03 1.894115e-05 3.618420e+03
4.538028e-04 3.649183e+03 1.894115e-05 3.619027e+03
4.604922e-04 3.649761e+03 1.894115e-05 3.619600e+03
4.672802e-04 3.650305e+03 1.894115e-05 3.620140e+03
4.741682e-04 3.650816e+03 1.894115e-05 3.620646e+03
4.811578e-04 3.651292e+03 1.894115e-05 3.621119e+03
4.882505e-04 3.651735e+03 1.894115e-05 3.621558e+03
4.954477e-04 3.652145e+03 1.894115e-05 3.621964e+03
5.027509e-04 3.652520e+03 1.894115e-05 3.622336e+03
5.101619e-04 3.652863e+03 1.894115e-05 3.622676e+03
5.176820e-04 3.653172e+03 1.894115e-05 3.622982e+03
5.253131e-04 3.653448e+03 1.894115e-05 3.623256e+03
5.330566e-04 3.653691e+03 1.894115e-05 3.623496e+03
5.409142e-04 3.653900e+03 1.894115e-05 3.623704e+03
5.488877e-04 3.654077e+03 1.894115e-05 3.623879e+03
5.569787e-04 3.654220e+03 1.894115e-05 3.624021e+03
5.651890e-04 3.654330e+03 1.894115e-05 3.624130e+03
5.735204e-04 3.654407e+03 1.894115e-05 3.624207e+03
5.819745e-04 3.654452e+03 1.894115e-05 3.624250e+03
5.905532e-04 3.654463e+03 1.894115e-05 3.624261e+03
5.992584e-04 3.654441e+03 1.894115e-05 3.624239e+03
6.080919e-04 3.654386e+03 1.894115e-05 3.624185e+03
6.170557e-04 3.654298e+03 1.894115e-05 3.624098e+03
6.261516e-04 3.654178e+03 1.894115e-05 3.623978e+03
6.353815e-04 3.654024e+03 1.894115e-05 3.623825e+03
6.447475e-04 3.653837e+03 1.894115e-05 3.623639e+03
6.542516e-04 3.653617e+03 1.894115e-05 3.623421e+03
6.638957e-04 3.653364e+03 1.894115e-05 3.623170e+03
6.736821e-04 3.653077e+03 1.894115e-05 3.622885e+03
6.836127e-04 3.652757e+03 1.894115e-05 3.622568e+03
6.936896e-04 3.652405e+03 1.894115e-05 3.622218e+03
7.039151e-04 3.652018e+03 1.894115e-05 3.621835e+03
7.142914e-04 3.651599e+03 1.894115e-05 3.621418e+03
7.248206e-04 3.651145e+03 1.894115e-05 3.620968e+03
7.355050e-04 3.650658e+03 1.894115e-05 3.620485e+03
7.463469e-04 3.650138e+03 1.894115e-05 3.619969e+03
7.573486e-04 3.649583e+03 1.894115e-05 3.619419e+03
7.685125e-04 3.648995e+03 1.894115e-05 3.618835e+03
7.798410e-04 3.648373e+03 1.894115e-05 3.618218e+03
7.913364e-04 3.647717e+03 1.894115e-05 3.617567e+03
8.030013e-04 3.647026e+03 1.894115e-05 3.616881e+03
8.148382e-04 3.646301e+03 1.894115e-05 3.616162e+03
8.268495e-04 3.645541e+03 1.894115e-05 3.615409e+03
8.390379e-04 3.644747e+03 1.894115e-05 3.614621e+03
8.514059e-04 3.643918e+03 1.894115e-05 3.613798e+03
8.639563e-04 3.643054e+03 1.894115e-05 3.612941e+03
8.766917e-04 3.642155e+03 1.894115e-05 3.612049e+03
8.896148e-04 3.641221e+03 1.894115e-05 3.611122e+03
9.027284e-04 3.640251e+03 1.894115e-05 3.610160e+03
9.160353e-04 3.639246e+03 1.894115e-05 3.609163e+03
9.295383e-04 3.638205e+03 1.894115e-05 3.608130e+03
9.432404e-04 3.637128e+03 1.894115e-05 3.607061e+03
9.571445e-04 3.636014e+03 1.894115e-05 3.605956e+03
9.712536e-04 3.634864e+03 1.894115e-05 3.604816e+03
9.855706e-04 3.633678e+03 1.894115e-05 3.603638e+03
1.000099e-03 3.632454e+03 1.894115e-05 3.602425e+03
1.014841e-03 3.631194e+03 1.894115e-05 3.601174e+03
1.029800e-03 3.629896e+03 1.894115e-05 3.599887e+03
1.044980e-03 3.628561e+03 1.894115e-05 3.598562e+03
1.060384e-03 3.627187e+03 1.894115e-05 3.597200e+03
1.076015e-03 3.625776e+03 1.894115e-05 3.595799e+03
1.091876e-03 3.624327e+03 1.894115e-05 3.594361e+03
1.107971e-03 3.622838e+03 1.894115e-05 3.592885e+03
1.124304e-03 3.621311e+03 1.894115e-05 3.591370e+03
1.140877e-03 3.619745e+03 1.894115e-05 3.589816e+03
1.157694e-03 3.618140e+03 1.894115e-05 3.588223e+03
1.174760e-03 3.616494e+03 1.894115e-05 3.586591e+03
1.192076e-03 3.614809e+03 1.894115e-05 3.584919e+03
1.209649e-03 3.613083e+03 1.894115e-05 3.583207e+03
1.227480e-03 3.611317e+03 1.894115e-05 3.581455e+03
1.245574e-03 3.609510e+03 1.894115e-05 3.579662e+03
1.263934e-03 3.607661e+03 1.894115e-05 3.577828e+03
1.282566e-03 3.605771e+03 1.894115e-05 3.575953e+03
1.301472e-03 3.603839e+03 1.894115e-05 3.574036e+03
1.320656e-03 3.601865e+03 1.894115e-05 3.572077e+03
1.340124e-03 3.599848e+03 1.894115e-05 3.570076e+03
1.359878e-03 3.597787e+03 1.894115e-05 3.568032e+03
1.379924e-03 3.595684e+03 1.894115e-05 3.565945e+03
1.400265e-03 3.593537e+03 1.894115e-05 3.563815e+03
1.420906e-03 3.591345e+03 1.894115e-05 3.561640e+03
1.441851e-03 3.589109e+03 1.894115e-05 3.559422e+03
1.463105e-03 3.586828e+03 1.894115e-05 3.557159e+03
1.484673e-03 3.584502e+03 1.894115e-05 3.554851e+03
1.506558e-03 3.582130e+03 1.894115e-05 3.552498e+03
1.528766e-03 3.579712e+03 1.894115e-05 3.550098e+03
1.551301e-03 3.577247e+03 1.894115e-05 3.547653e+03
1.574168e-03 3.574735e+03 1.894115e-05 3.545161e+03
1.597372e-03 3.572176e+03 1.894115e-05 3.542621e+03
1.620919e-03 3.569569e+03 1.894115e-05 3.540035e+03
1.644813e-03 3.566913e+03 1.894115e-05 3.537400e+03
1.669058e-03 3.564208e+03 1.894115e-05 3.534717e+03
1.693662e-03 3.561455e+03 1.894115e-05 3.531984e+03
1.718627e-03 3.558651e+03 1.894115e-05 3.529203e+03
1.743961e-03 3.555797e+03 1.894115e-05 3.526371e+03
1.769669e-03 3.552893e+03 1.894115e-05 3.523490e+03
1.795755e-03 3.549937e+03 1.894115e-05 3.520557e+03
1.822226e-03 3.546930e+03 1.894115e-05 3.517573e+03
1.849087e-03 3.543870e+03 1.894115e-05 3.514537e+03
1.876344e-03 3.540757e+03 1.894115e-05 3.511449e+03
1.904002e-03 3.537592e+03 1.894115e-05 3.508307e+03
1.932069e-03 3.534372e+03 1.894115e-05 3.505113e+03
1.960549e-03 3.531098e+03 1.894115e-05 3.501864e+03
1.989449e-03 3.527769e+03 1.894115e-05 3.498561e+03
2.018775e-03 3.524385e+03 1.894115e-05 3.495203e+03
2.048533e-03 3.520944e+03 1.894115e-05 3.491789e+03
2.078730e-03 3.517447e+03 1.894115e-05 3.488319e+03
2.109372e-03 3.513893e+03 1.894115e-05 3.484792e+03
2.140466e-03 3.510281e+03 1.894115e-05 3.481208e+03
2.172018e-03 3.506610e+03 1.894115e-05 3.477566e+03
2.204035e-03 3.502881e+03 1.894115e-05 3.473866e+03
2.236524e-03 3.499092e+03 1.894115e-05 3.470106e+03
2.269492e-03 3.495243e+03 1.894115e-05 3.466287e+03
2.302946e-03 3.491333e+03 1.894115e-05 3.462407e+03
2.336894e-03 3.487362e+03 1.894115e-05 3.458467e+03
2.371341e-03 3.483329e+03 1.894115e-05 3.454464e+03
2.406297e-03 3.479233e+03 1.894115e-05 3.450400e+03
2.441767e-03 3.475074e+03 1.894115e-05 3.446273e+03
2.477761e-03 3.470851e+03 1.894115e-05 3.442082e+03
2.514285e-03 3.466563e+03 1.894115e-05 3.437827e+03
2.551347e-03 3.462210e+03 1.894115e-05 3.433507e+03
2.588956e-03 3.457791e+03 1.894115e-05 3.429121e+03
2.627119e-03 3.453305e+03 1.894115e-05 3.424670e+03
2.665845e-03 3.448752e+03 1.894115e-05 3.420151e+03
2.705141e-03 3.444130e+03 1.894115e-05 3.415565e+03
2.745017e-03 3.439441e+03 1.894115e-05 3.410911e+03
2.785481e-03 3.434681e+03 1.894115e-05 3.406188e+03
2.826541e-03 3.429852e+03 1.894115e-05 3.401395e+03
2.868206e-03 3.424951e+03 1.894115e-05 3.396532e+03
2.910486e-03 3.419979e+03 1.894115e-05 3.391597e+03
2.953389e-03 3.414935e+03 1.894115e-05 3.386591e+03
2.996924e-03 3.409817e+03 1.894115e-05 3.381512e+03
3.041101e-03 3.404626e+03 1.894115e-05 3.376360e+03
3.085929e-03 3.399360e+03 1.894115e-05 3.371134e+03
3.131418e-03 3.394019e+03 1.894115e-05 3.365833e+03
3.177577e-03 3.388602e+03 1.894115e-05 3.360457e+03
3.224417e-03 3.383108e+03 1.894115e-05 3.355004e+03
3.271948e-03 3.377536e+03 1.894115e-05 3.349474e+03
3.320179e-03 3.371886e+03 1.894115e-05 3.343866e+03
3.369121e-03 3.366157e+03 1.894115e-05 3.338179e+03
3.418784e-03 3.360348e+03 1.894115e-05 3.332413e+03
3.469180e-03 3.354458e+03 1.894115e-05 3.326567e+03
3.520318e-03 3.348486e+03 1.894115e-05 3.320640e+03
