# Saha solution with Stewart-Pyat α=1 IPD
   n[1/cc]      T[K]         Zbar         x_0[eV]      x_1[eV]      x_2[eV]      χ_0[eV]      χ_1[eV]      χ_2[eV]      
   1.124e+20    3.645e+04    1.388e+00    2.057e-02    5.705e-01    4.089e-01    0.000e+00    1.079e+01    1.862e+01
   1.124e+20    4.478e+04    1.706e+00    4.759e-03    2.842e-01    7.110e-01    0.000e+00    1.069e+01    1.845e+01
   1.124e+20    5.502e+04    1.881e+00    9.445e-04    1.167e-01    8.823e-01    0.000e+00    1.069e+01    1.843e+01
   1.124e+20    6.759e+04    1.952e+00    1.927e-04    4.712e-02    9.527e-01    0.000e+00    1.075e+01    1.849e+01
   1.124e+20    8.305e+04    1.980e+00    4.427e-05    2.028e-02    9.797e-01    0.000e+00    1.082e+01    1.860e+01
   1.182e+20    1.661e+03    1.316e-18    1.000e+00    1.316e-18    7.852e-64    0.000e+00    1.213e+01    2.097e+01
   1.182e+20    2.041e+03    4.082e-15    1.000e+00    4.082e-15    7.449e-52    0.000e+00    1.213e+01    2.097e+01
   1.182e+20    2.507e+03    2.918e-12    1.000e+00    2.918e-12    4.420e-42    0.000e+00    1.213e+01    2.097e+01
   1.182e+20    3.080e+03    6.321e-10    1.000e+00    6.321e-10    4.221e-34    0.000e+00    1.213e+01    2.097e+01
   1.182e+20    3.785e+03    5.184e-08    1.000e+00    5.184e-08    1.403e-27    0.000e+00    1.213e+01    2.097e+01
   1.182e+20    4.650e+03    1.934e-06    1.000e+00    1.934e-06    3.064e-22    0.000e+00    1.213e+01    2.097e+01
   1.182e+20    5.713e+03    3.822e-05    1.000e+00    3.822e-05    7.453e-18    0.000e+00    1.211e+01    2.094e+01
   1.182e+20    7.019e+03    4.535e-04    9.995e-01    4.535e-04    3.121e-14    0.000e+00    1.207e+01    2.087e+01
   1.182e+20    8.624e+03    3.571e-03    9.964e-01    3.571e-03    3.178e-11    0.000e+00    1.200e+01    2.072e+01
   1.182e+20    1.060e+04    2.003e-02    9.800e-01    2.003e-02    1.021e-08    0.000e+00    1.186e+01    2.047e+01
   1.182e+20    1.302e+04    8.298e-02    9.170e-01    8.298e-02    1.247e-06    0.000e+00    1.165e+01    2.011e+01
   1.182e+20    1.599e+04    2.518e-01    7.483e-01    2.517e-01    6.543e-05    0.000e+00    1.140e+01    1.967e+01
   1.182e+20    1.965e+04    5.359e-01    4.657e-01    5.327e-01    1.590e-03    0.000e+00    1.118e+01    1.928e+01
   1.182e+20    2.414e+04    8.126e-01    2.068e-01    7.738e-01    1.938e-02    0.000e+00    1.104e+01    1.904e+01
   1.182e+20    2.966e+04    1.053e+00    7.266e-02    8.022e-01    1.252e-01    0.000e+00    1.093e+01    1.884e+01
   1.182e+20    3.645e+04    1.379e+00    2.159e-02    5.773e-01    4.011e-01    0.000e+00    1.077e+01    1.858e+01
   1.182e+20    4.478e+04    1.699e+00    5.067e-03    2.911e-01    7.038e-01    0.000e+00    1.067e+01    1.840e+01
   1.182e+20    5.502e+04    1.877e+00    1.018e-03    1.207e-01    8.783e-01    0.000e+00    1.066e+01    1.838e+01
   1.182e+20    6.759e+04    1.951e+00    2.093e-04    4.898e-02    9.508e-01    0.000e+00    1.072e+01    1.844e+01
   1.182e+20    8.305e+04    1.979e+00    4.832e-05    2.115e-02    9.788e-01    0.000e+00    1.079e+01    1.855e+01
   1.243e+20    1.661e+03    1.284e-18    1.000e+00    1.284e-18    7.468e-64    0.000e+00    1.213e+01    2.097e+01
   1.243e+20    2.041e+03    3.980e-15    1.000e+00    3.980e-15    7.084e-52    0.000e+00    1.213e+01    2.097e+01
   1.243e+20    2.507e+03    2.846e-12    1.000e+00    2.846e-12    4.204e-42    0.000e+00    1.213e+01    2.097e+01
   1.243e+20    3.080e+03    6.164e-10    1.000e+00    6.164e-10    4.015e-34    0.000e+00    1.213e+01    2.097e+01
   1.243e+20    3.785e+03    5.056e-08    1.000e+00    5.056e-08    1.334e-27    0.000e+00    1.213e+01    2.097e+01
   1.243e+20    4.650e+03    1.886e-06    1.000e+00    1.886e-06    2.915e-22    0.000e+00    1.213e+01    2.097e+01
   1.243e+20    5.713e+03    3.728e-05    1.000e+00    3.728e-05    7.094e-18    0.000e+00    1.211e+01    2.094e+01
   1.243e+20    7.019e+03    4.425e-04    9.996e-01    4.425e-04    2.975e-14    0.000e+00    1.207e+01    2.087e+01
   1.243e+20    8.624e+03    3.486e-03    9.965e-01    3.486e-03    3.035e-11    0.000e+00    1.199e+01    2.072e+01
   1.243e+20    1.060e+04    1.957e-02    9.804e-01    1.957e-02    9.770e-09    0.000e+00    1.185e+01    2.047e+01
   1.243e+20    1.302e+04    8.123e-02    9.188e-01    8.122e-02    1.197e-06    0.000e+00    1.164e+01    2.010e+01
   1.243e+20    1.599e+04    2.472e-01    7.529e-01    2.471e-01    6.300e-05    0.000e+00    1.139e+01    1.965e+01
   1.243e+20    1.965e+04    5.288e-01    4.727e-01    5.258e-01    1.535e-03    0.000e+00    1.116e+01    1.925e+01
   1.243e+20    2.414e+04    8.063e-01    2.124e-01    7.688e-01    1.875e-02    0.000e+00    1.102e+01    1.900e+01
   1.243e+20    2.966e+04    1.046e+00    7.539e-02    8.030e-01    1.216e-01    0.000e+00    1.091e+01    1.881e+01
   1.243e+20    3.645e+04    1.371e+00    2.265e-02    5.841e-01    3.933e-01    0.000e+00    1.074e+01    1.854e+01
   1.243e+20    4.478e+04    1.691e+00    5.392e-03    2.980e-01    6.966e-01    0.000e+00    1.064e+01    1.836e+01
   1.243e+20    5.502e+04    1.873e+00    1.097e-03    1.247e-01    8.742e-01    0.000e+00    1.063e+01    1.833e+01
   1.243e+20    6.759e+04    1.949e+00    2.273e-04    5.089e-02    9.489e-01    0.000e+00    1.069e+01    1.839e+01
   1.243e+20    8.305e+04    1.978e+00    5.273e-05    2.205e-02    9.779e-01    0.000e+00    1.076e+01    1.849e+01
   1.306e+20    1.661e+03    1.252e-18    1.000e+00    1.252e-18    7.102e-64    0.000e+00    1.213e+01    2.097e+01
   1.306e+20    2.041e+03    3.882e-15    1.000e+00    3.882e-15    6.738e-52    0.000e+00    1.213e+01    2.097e+01
   1.306e+20    2.507e+03    2.775e-12    1.000e+00    2.775e-12    3.998e-42    0.000e+00    1.213e+01    2.097e+01
   1.306e+20    3.080e+03    6.011e-10    1.000e+00    6.011e-10    3.818e-34    0.000e+00    1.213e+01    2.097e+01
   1.306e+20    3.785e+03    4.931e-08    1.000e+00    4.931e-08    1.269e-27    0.000e+00    1.213e+01    2.097e+01
   1.306e+20    4.650e+03    1.840e-06    1.000e+00    1.840e-06    2.773e-22    0.000e+00    1.213e+01    2.097e+01
   1.306e+20    5.713e+03    3.637e-05    1.000e+00    3.637e-05    6.753e-18    0.000e+00    1.211e+01    2.094e+01
   1.306e+20    7.019e+03    4.318e-04    9.996e-01    4.318e-04    2.835e-14    0.000e+00    1.207e+01    2.087e+01
   1.306e+20    8.624e+03    3.404e-03    9.966e-01    3.404e-03    2.898e-11    0.000e+00    1.199e+01    2.072e+01
   1.306e+20    1.060e+04    1.913e-02    9.809e-01    1.913e-02    9.352e-09    0.000e+00    1.185e+01    2.046e+01
   1.306e+20    1.302e+04    7.951e-02    9.205e-01    7.950e-02    1.149e-06    0.000e+00    1.164e+01    2.009e+01
   1.306e+20    1.599e+04    2.427e-01    7.574e-01    2.426e-01    6.066e-05    0.000e+00    1.138e+01    1.964e+01
   1.306e+20    1.965e+04    5.218e-01    4.796e-01    5.189e-01    1.483e-03    0.000e+00    1.115e+01    1.923e+01
   1.306e+20    2.414e+04    8.001e-01    2.181e-01    7.638e-01    1.815e-02    0.000e+00    1.100e+01    1.897e+01
   1.306e+20    2.966e+04    1.040e+00    7.819e-02    8.037e-01    1.181e-01    0.000e+00    1.088e+01    1.877e+01
   1.306e+20    3.645e+04    1.362e+00    2.375e-02    5.906e-01    3.856e-01    0.000e+00    1.072e+01    1.850e+01
   1.306e+20    4.478e+04    1.684e+00    5.734e-03    3.050e-01    6.893e-01    0.000e+00    1.061e+01    1.831e+01
   1.306e+20    5.502e+04    1.869e+00    1.181e-03    1.288e-01    8.700e-01    0.000e+00    1.060e+01    1.828e+01
   1.306e+20    6.759e+04    1.947e+00    2.467e-04    5.287e-02    9.469e-01    0.000e+00    1.065e+01    1.834e+01
   1.306e+20    8.305e+04    1.977e+00    5.752e-05    2.298e-02    9.770e-01    0.000e+00    1.073e+01    1.844e+01
   1.374e+20    1.661e+03    1.221e-18    1.000e+00    1.221e-18    6.755e-64    0.000e+00    1.213e+01    2.097e+01
   1.374e+20    2.041e+03    3.786e-15    1.000e+00    3.786e-15    6.408e-52    0.000e+00    1.213e+01    2.097e+01
   1.374e+20    2.507e+03    2.706e-12    1.000e+00    2.706e-12    3.803e-42    0.000e+00    1.213e+01    2.097e+01
   1.374e+20    3.080e+03    5.862e-10    1.000e+00    5.862e-10    3.631e-34    0.000e+00    1.213e+01    2.097e+01
   1.374e+20    3.785e+03    4.809e-08    1.000e+00    4.809e-08    1.207e-27    0.000e+00    1.213e+01    2.097e+01
   1.374e+20    4.650e+03    1.794e-06    1.000e+00    1.794e-06    2.638e-22    0.000e+00    1.213e+01    2.097e+01
   1.374e+20    5.713e+03    3.547e-05    1.000e+00    3.547e-05    6.429e-18    0.000e+00    1.211e+01    2.094e+01
   1.374e+20    7.019e+03    4.214e-04    9.996e-01    4.214e-04    2.702e-14    0.000e+00    1.207e+01    2.086e+01
   1.374e+20    8.624e+03    3.324e-03    9.967e-01    3.324e-03    2.767e-11    0.000e+00    1.199e+01    2.071e+01
   1.374e+20    1.060e+04    1.869e-02    9.813e-01    1.869e-02    8.953e-09    0.000e+00    1.185e+01    2.045e+01
   1.374e+20    1.302e+04    7.782e-02    9.222e-01    7.782e-02    1.103e-06    0.000e+00    1.163e+01    2.008e+01
   1.374e+20    1.599e+04    2.382e-01    7.618e-01    2.381e-01    5.842e-05    0.000e+00    1.137e+01    1.962e+01
   1.374e+20    1.965e+04    5.149e-01    4.866e-01    5.120e-01    1.432e-03    0.000e+00    1.113e+01    1.920e+01
   1.374e+20    2.414e+04    7.938e-01    2.238e-01    7.587e-01    1.756e-02    0.000e+00    1.098e+01    1.894e+01
   1.374e+20    2.966e+04    1.034e+00    8.107e-02    8.042e-01    1.148e-01    0.000e+00    1.086e+01    1.873e+01
   1.374e+20    3.645e+04    1.353e+00    2.489e-02    5.971e-01    3.780e-01    0.000e+00    1.070e+01    1.846e+01
   1.374e+20    4.478e+04    1.676e+00    6.095e-03    3.120e-01    6.819e-01    0.000e+00    1.058e+01    1.826e+01
   1.374e+20    5.502e+04    1.864e+00    1.271e-03    1.330e-01    8.658e-01    0.000e+00    1.057e+01    1.822e+01
   1.374e+20    6.759e+04    1.945e+00    2.677e-04    5.490e-02    9.448e-01    0.000e+00    1.062e+01    1.828e+01
   1.374e+20    8.305e+04    1.976e+00    6.272e-05    2.395e-02    9.760e-01    0.000e+00    1.070e+01    1.839e+01
